Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-01-01,130.00002531512,130.37996259597,125.52039344935,129.64024385818,699405
2023-01-08,129.00029644879,134.11987572396,126.69950914855,132.55981495271,1598443
2023-01-15,132.60012660054,139.37953797536,128.65966302457,132.13956602402,2441993
2023-01-22,133.00021970531,134.80013478119,127.20038137291,132.51950330487,1344781
2023-01-29,132.53965912879,137.30046473822,130.99975418145,133.90017724325,882671
2023-02-05,133.50008413848,148.54035994609,131.20030462944,146.79990455077,2396130
2023-02-12,145.59962523646,145.94025866067,136.01956212823,138.63981923757,1712494
2023-02-19,139.60024424726,142.99952395103,133.2995336905,135.82001947144,1094549
2023-02-26,136.24026840013,137.73986169963,129.15952745774,129.52031670587,982922
2023-03-05,130.00002531512,135.60032099074,129.38023372964,130.66012854844,982012
2023-03-12,132.00049083898,134.80013478119,127.6196225104,128.69997467241,843076
2023-03-19,128.72013049633,136.29972808069,120.79989948775,130.99975418145,1978259
2023-03-26,130.00002531512,132.27964900025,109.22037864686,110.60004479405,3791091
2023-04-02,111.50000233198,124.3997296395,105.51976937551,111.21983637952,3746465
2023-04-09,110.93967042706,111.00013789882,106.00048577596,106.20002843275,1344843
2023-04-16,107.29952862747,112.82020879861,103.92040474762,110.74012777028,1411691
2023-04-23,111.80032410836,113.20014607947,107.83970470848,110.79958745083,1345361
2023-04-30,111.40023100359,115.19960381213,109.60031592771,113.29991740786,1048541
2023-05-07,114.10010361741,116.30011179806,111.50000233198,112.89982430309,739448
2023-05-14,113.45007829605,119.59962017343,110.54965523425,114.84990026716,1418873
2023-05-21,116.39988312645,116.70020490283,108.55019750158,113.70001051263,1620169
2023-05-28,114.00033228901,121.29976392092,113.04998519128,118.90021308348,2180040
2023-06-04,121.04983170433,129.69970353874,119.49984884504,128.45004245583,2688242
2023-06-11,129.94963575533,133.50008413848,128.04994935105,129.34999999377,2036153
2023-06-18,133,173,132.95,170,6421712
2023-06-25,169,175.85,152,152,2637724
2023-07-02,151.2,157.8,146.35,154.85,1900263
2023-07-09,155,157.4,140.65,145,1445492
2023-07-16,144.2,158.15,141.8,154.2,1129775
2023-07-23,153.8,161,152.2,159.75,1094185
2023-07-30,157.5,165.5,153.25,164.4,1352988
2023-08-06,164.6,165.5,155.2,163.1,1226016
2023-08-13,162.1,163,155.3,157.25,695596
2023-08-20,156.65,159.45,148.2,154,775762
2023-08-27,154.55,163.35,152.1,156.1,1069704
2023-09-03,157.9,158,145,150.45,1216082
2023-09-10,151,161.2,146.65,154.1,1467327
2023-09-17,155.2,158.5,153.7,154.25,1790005
2023-09-24,154.95,158.45,146.1,148.7,1492480
2023-10-01,150.65,155.8,121.55,125.2,3338552
